place_id,館名,地址,緯度,經度,網站,電話,評分,營業時間
ChIJcRV3WHOpQjQRFpgzTpxZWgo,國立臺灣博物館,100台灣臺北市中正區襄陽路2號,25.0427872,121.5151192,https://www.ntm.gov.tw/,+886 2 2382 2566,4.5,星期一: 休息|星期二: 09:30 – 17:00|星期三: 09:30 – 17:00|星期四: 09:30 – 17:00|星期五: 09:30 – 17:00|星期六: 09:30 – 17:00|星期日: 09:30 – 17:00
ChIJa1U1VXOpQjQR6InZ2RmUU0s,國立臺灣博物館 古生物館,100台灣臺北市中正區襄陽路25號,25.043643,121.5143695,https://www.ntm.gov.tw/exhibitionlist_182_2169_1.html,+886 2 2314 2699,4.6,星期一: 休息|星期二: 09:30 – 17:00|星期三: 09:30 – 17:00|星期四: 09:30 – 17:00|星期五: 09:30 – 17:00|星期六: 09:30 – 17:00|星期日: 09:30 – 17:00
ChIJZVl9mw2pQjQRNl7qT3nVk80,國立臺灣博物館鐵道部園區,103台灣臺北市大同區延平北路一段2號,25.0487719,121.5112073,https://www.ntm.gov.tw/default.aspx,+886 2 2558 9790,4.6,星期一: 休息|星期二: 09:30 – 17:00|星期三: 09:30 – 17:00|星期四: 09:30 – 17:00|星期五: 09:30 – 17:00|星期六: 09:30 – 17:00|星期日: 09:30 – 17:00
ChIJbVjU3GGpQjQRf-842jJJufc,袖珍博物館,10489台灣臺北市中山區建國北路一段96號B1,25.050421,121.5360584,http://www.mmot.com.tw/,+886 2 2515 0583,4.4,星期一: 休息|星期二: 10:00 – 18:00|星期三: 10:00 – 18:00|星期四: 10:00 – 18:00|星期五: 10:00 – 18:00|星期六: 10:00 – 18:00|星期日: 10:00 – 18:00
ChIJzx49raOpQjQR7NYRaIqDppk,國立歷史博物館,100台灣臺北市中正區南海路49號4樓,25.0315698,121.5111994,https://www.nmh.gov.tw/,+886 2 2331 1220,4.2,星期一: 休息|星期二: 10:00 – 18:00|星期三: 10:00 – 18:00|星期四: 10:00 – 18:00|星期五: 10:00 – 18:00|星期六: 10:00 – 18:00|星期日: 10:00 – 18:00
ChIJ0QGCo5ipQjQRRVNCf4ND6VM,郵政博物館,100台灣臺北市中正區重慶南路二段45號,25.0316443,121.5148283,http://museum.post.gov.tw/,+886 2 2394 5185,4.5,星期一: 休息|星期二: 09:00 – 17:00|星期三: 09:00 – 17:00|星期四: 09:00 – 17:00|星期五: 09:00 – 17:00|星期六: 09:00 – 17:00|星期日: 09:00 – 17:00
ChIJfUpAzTqsQjQRwQl6ORhwbV0,國立故宮博物院,111台灣臺北市士林區至善路二段221號,25.1023554,121.5484925,https://www.npm.gov.tw/,+886 2 2881 2021,4.6,星期一: 休息|星期二: 09:00 – 17:00|星期三: 09:00 – 17:00|星期四: 09:00 – 17:00|星期五: 09:00 – 17:00|星期六: 09:00 – 17:00|星期日: 09:00 – 17:00
ChIJ42fAy7iuQjQRE2DgdH7p7fQ,國立臺灣科學教育館,111台灣臺北市士林區士商路189號,25.0962609,121.5164742,https://www.ntsec.gov.tw/,+886 2 6610 1234#1000,4.3,星期一: 休息|星期二: 09:00 – 17:00|星期三: 09:00 – 17:00|星期四: 09:00 – 17:00|星期五: 09:00 – 17:00|星期六: 09:00 – 18:00|星期日: 09:00 – 18:00
ChIJ-ffZ_VGpQjQRcaEDDIjDQHo,臺北市立美術館,10461台灣臺北市中山區中山北路三段181號,25.072136,121.5244037,https://www.tfam.museum/index.aspx,+886 2 2595 7656,4.6,星期一: 休息|星期二: 09:30 – 17:30|星期三: 09:30 – 17:30|星期四: 09:30 – 17:30|星期五: 09:30 – 17:30|星期六: 09:30 – 20:30|星期日: 09:30 – 17:30
ChIJc-TxSWypQjQR-8Eh7elK97Q,台北當代藝術館,103台灣臺北市大同區長安西路39號,25.0508047,121.5189766,https://www.mocataipei.org.tw/tw,+886 2 2552 3721,4.4,星期一: 休息|星期二: 10:00 – 18:00|星期三: 10:00 – 18:00|星期四: 10:00 – 18:00|星期五: 10:00 – 18:00|星期六: 10:00 – 18:00|星期日: 10:00 – 18:00
